Generation,Top Fitness,Mean Fitness,Run Time (s)
301,1053,103.30859375,367.94082260131836
302,1055,88.73046875,334.95218443870544
303,898,113.46875,392.1565318107605
304,1403,139.91015625,433.19557929039
305,1053,98.15234375,349.0899336338043
306,1228,98.75,341.1746940612793
307,1221,131.91015625,415.55490493774414
308,898,127.30078125,409.6753759384155
309,1228,154.421875,493.86467480659485
310,1053,121.16796875,403.60564637184143
311,1053,92.77734375,322.92850613594055
312,1408,135.4453125,436.6663544178009
313,1054,110.25,369.56846261024475
314,1222,120.40234375,396.57052969932556
315,1249,92.17578125,326.94742941856384
316,1406,128.5078125,416.16492223739624
317,1399,107.0859375,361.37771797180176
318,1053,118.59375,391.846271276474
319,1406,118.90625,411.94733142852783
320,1053,118.96484375,388.08064675331116
321,1221,145.5390625,468.98374128341675
322,899,125.6484375,402.21510338783264
323,1406,118.265625,405.51391673088074
324,1054,116.61328125,398.92191791534424
325,1055,132.34765625,452.35239028930664
326,1228,145.125,488.96852111816406
327,898,135.25390625,453.7672612667084
328,1054,127.1171875,420.49797773361206
329,898,109.98828125,380.7784934043884
330,1053,127.74609375,437.7761142253876
331,1228,124.18359375,413.74071288108826
332,899,139.19140625,453.679310798645
333,898,127.1875,427.3974254131317
334,1053,105.09765625,378.7957937717438
335,899,104.37109375,331.20494532585144
336,899,102.828125,352.8184564113617
337,898,88.84765625,296.6166195869446
338,1055,152.2421875,490.2573928833008
339,1030,121.77734375,422.196834564209
340,899,124.859375,437.73647713661194
341,1406,131.65625,439.08748865127563
342,1228,133.6328125,449.634051322937
343,1053,159.84765625,561.2629880905151
344,517,121.2734375,199.92149686813354
345,709,143.4453125,215.2869119644165
346,196,14.2890625,30.23122787475586
347,204,18.5390625,41.95050382614136
348,194,15.07421875,31.25461745262146
349,206,15.80078125,29.75091528892517
350,239,14.07421875,29.232335805892944
351,208,15.734375,30.466580152511597
352,198,16.89453125,33.73404097557068
353,217,13.5078125,23.39941143989563
354,194,11.11328125,24.024184942245483
355,194,14.921875,28.14897322654724
356,194,17.0078125,28.88871669769287
357,224,20.9453125,42.93268823623657
358,191,14.96484375,30.670120000839233
359,191,14.8203125,23.000927209854126
360,196,21.53125,38.472302198410034
361,194,17.26953125,27.401622533798218
362,189,17.6484375,27.20425510406494
363,214,13.65625,25.102091312408447
364,191,21.98046875,33.103407859802246
365,395,19.58203125,30.06143093109131
366,212,22.16796875,30.168761730194092
367,191,16.04296875,25.635159254074097
368,228,22.359375,34.63320326805115
369,203,19.05078125,28.99095606803894
370,194,16.171875,31.934709072113037
371,191,19.19140625,40.297444105148315
372,380,21.96484375,35.867213010787964
373,244,19.9453125,32.648218393325806
374,194,15.14453125,32.421337604522705
375,194,19.12109375,33.922377824783325
376,194,15.64453125,29.60305953025818
377,205,22.75,37.83933472633362
378,196,15.8671875,27.718401193618774
379,254,15.94921875,35.112847566604614
380,398,19.21484375,39.34671115875244
381,200,17.50390625,35.69640302658081
382,212,20.34375,33.742791414260864
383,197,15.87109375,32.0666868686676
384,215,17.453125,32.8038113117218
385,194,16.5546875,34.045936822891235
386,230,19.37890625,34.76602005958557
387,205,13.9765625,22.92788004875183
388,408,15.26953125,29.823387622833252
389,194,17.0703125,32.083295822143555
390,225,17.9609375,32.744279623031616
391,191,11.73828125,22.63874077796936
392,194,23.16015625,39.33643579483032
393,194,17.03515625,34.44455552101135
394,228,17.55859375,40.69757914543152
395,278,22.76171875,41.44888520240784
396,354,23.78125,49.18998885154724
397,194,19.109375,33.54681873321533
398,585,19.75,39.54841494560242
